,guanosine,C22:6 CE,C16:0 LPE,asparagine,creatine,N-carbamoyl-beta-alanine,beta-alanine,sarcosine,carnitine,putrescine,2-deoxycytidine,C56:5 TAG,1-methylnicotinamide,butyrylcarnitine/isobutyrylcarnitine,GABA,C22:6 LPE,homocysteine,3-phosphoglycerate,C36:1 DAG,C20:4 CE,C18:0 LPE,taurodeoxycholate,inositol,PEP,cis/trans-hydroxyproline,serine,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,C22:6 LPC
2771,1.0,0.0,4.0,8.0,5.0,16.0,7.0,36.0,32.0,39.0,24.0,13.0,47.0,21.0,12.0,41.0,25.0,17.0,43.0,2.0,11.0,54.0,27.0,3.0,50.0,26.0,6.0,40.0,56.0,45.0
2820,2.0,5.0,4.0,11.0,0.0,17.0,7.0,37.0,6.0,39.0,21.0,15.0,18.0,19.0,20.0,34.0,13.0,44.0,36.0,40.0,35.0,54.0,10.0,8.0,9.0,57.0,28.0,26.0,50.0,43.0
2869,0.0,1.0,8.0,6.0,19.0,35.0,39.0,10.0,34.0,23.0,22.0,5.0,9.0,43.0,62.0,42.0,3.0,45.0,40.0,18.0,31.0,7.0,2.0,29.0,15.0,58.0,32.0,24.0,33.0,41.0
2918,7.0,27.0,1.0,58.0,18.0,23.0,42.0,41.0,35.0,19.0,46.0,22.0,40.0,36.0,11.0,12.0,15.0,45.0,43.0,34.0,10.0,0.0,25.0,2.0,13.0,3.0,21.0,30.0,33.0,4.0
2967,11.0,22.0,0.0,3.0,7.0,5.0,12.0,14.0,46.0,2.0,62.0,55.0,66.0,23.0,54.0,38.0,25.0,24.0,20.0,43.0,37.0,4.0,1.0,58.0,51.0,10.0,8.0,28.0,9.0,16.0
3016,1.0,2.0,0.0,9.0,12.0,21.0,14.0,33.0,18.0,19.0,6.0,54.0,48.0,17.0,8.0,46.0,11.0,4.0,5.0,3.0,13.0,31.0,10.0,27.0,51.0,64.0,60.0,56.0,57.0,36.0
3065,13.0,11.0,0.0,48.0,2.0,23.0,14.0,41.0,25.0,3.0,63.0,54.0,66.0,44.0,53.0,19.0,27.0,26.0,45.0,35.0,46.0,6.0,5.0,62.0,50.0,9.0,18.0,10.0,42.0,8.0
3114,0.0,21.0,23.0,48.0,18.0,19.0,40.0,8.0,12.0,24.0,6.0,20.0,14.0,46.0,22.0,11.0,25.0,3.0,16.0,10.0,35.0,5.0,7.0,27.0,9.0,29.0,63.0,31.0,65.0,38.0
3163,4.0,7.0,1.0,6.0,0.0,19.0,2.0,15.0,46.0,56.0,63.0,3.0,48.0,45.0,21.0,10.0,23.0,22.0,12.0,40.0,9.0,31.0,29.0,27.0,53.0,49.0,62.0,30.0,25.0,13.0
3212,2.0,21.0,0.0,4.0,1.0,55.0,23.0,12.0,8.0,7.0,15.0,53.0,65.0,13.0,52.0,38.0,24.0,3.0,18.0,42.0,16.0,26.0,11.0,6.0,20.0,22.0,62.0,9.0,30.0,36.0
