,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
1551,244.0,3.0,10.0,24134.0,4.0,43.0,172.0,32.0,5.0,54.0,3369.0,6542.0,19052.0,10927.0,30.0,12583.0,6410.0,10293.0,22.0,3425.0,16.0,0.0,237.0,5538.0,1760.0,888.0,305.0,400.0,158.0,399.0
1600,0.0,642.0,29.0,16.0,1.0,1219.0,159.0,1515.0,108.0,2.0,1704.0,27.0,20899.0,38.0,34.0,150.0,35.0,10238.0,25.0,1409.0,3.0,180.0,26.0,334.0,124.0,17153.0,811.0,145.0,205.0,153.0
1649,68.0,321.0,3.0,2778.0,5.0,98.0,51.0,11.0,468.0,19.0,123.0,87.0,19131.0,39.0,286.0,12597.0,7131.0,10311.0,3969.0,103.0,8.0,1.0,372.0,363.0,108.0,1265.0,46.0,128.0,23.0,4.0
1698,0.0,7.0,23.0,13.0,3.0,35.0,178.0,18.0,114.0,6.0,293.0,127.0,30.0,334.0,8.0,475.0,6823.0,10140.0,33.0,2726.0,20.0,4.0,198.0,95.0,1006.0,17154.0,76.0,652.0,93.0,365.0
1747,0.0,1.0,2.0,110.0,55.0,26.0,63.0,109.0,45.0,3.0,4.0,10.0,32.0,33.0,125.0,663.0,179.0,222.0,43.0,191.0,164.0,279.0,15606.0,46.0,29.0,520.0,101.0,69.0,260.0,116.0
1796,1.0,150.0,12.0,30.0,52.0,44.0,54.0,300.0,18.0,7.0,3360.0,71.0,281.0,156.0,43.0,3.0,282.0,4970.0,49.0,10.0,20.0,68.0,3259.0,51.0,177.0,16953.0,306.0,6.0,224.0,111.0
1845,5.0,2.0,0.0,2866.0,8.0,148.0,61.0,29.0,311.0,3.0,12.0,72.0,54.0,66.0,37.0,1036.0,258.0,10531.0,19.0,380.0,194.0,195.0,1825.0,23.0,100.0,12289.0,251.0,3547.0,108.0,670.0
1894,1.0,12.0,13.0,2467.0,7.0,240.0,164.0,4.0,12139.0,9.0,473.0,7222.0,248.0,45.0,193.0,11918.0,247.0,100.0,109.0,2936.0,17.0,14.0,348.0,1220.0,38.0,16952.0,22.0,3489.0,74.0,42.0
1943,12.0,115.0,1.0,2789.0,273.0,716.0,220.0,24.0,74.0,4.0,1762.0,10.0,50.0,1403.0,22074.0,59.0,238.0,10273.0,58.0,393.0,122.0,6.0,14809.0,7108.0,67.0,17165.0,14.0,355.0,5149.0,251.0
1992,95.0,142.0,41.0,0.0,16.0,2.0,15.0,57.0,12470.0,264.0,1.0,458.0,426.0,9.0,386.0,182.0,92.0,427.0,915.0,351.0,20.0,21965.0,68.0,100.0,3406.0,80.0,46.0,179.0,94.0,249.0
