,hsa-miR-216a,hsa-miR-205,hsa-miR-223,hsa-miR-375,hsa-miR-934,hsa-miR-1539,hsa-miR-615-3p,hsa-let-7e,hsa-miR-9,hsa-miR-671-3p,hsa-miR-339-5p,hsa-miR-139-5p,hsa-miR-142-5p,hsa-miR-220b,hsa-miR-28-3p,hsa-miR-1246,hsa-miR-135b,hsa-miR-30e,hsa-miR-2053,hsa-miR-320d,hsa-miR-296-5p,hsa-miR-30c,hsa-miR-222,hsa-miR-323-3p,hsa-miR-518b,hsa-miR-1180,hsa-miR-515-3p,hsa-miR-557,hsa-miR-509-5p,hsa-miR-155
2909,2.0,3.0,119.0,37.0,55.0,4.0,7.0,0.0,16.0,34.0,38.0,14.0,13.0,9.0,1.0,105.0,150.0,10.0,394.0,45.0,11.0,12.0,26.0,276.0,18.0,79.0,71.0,149.0,262.0,20.0
2958,1.0,0.0,2.0,7.0,26.0,8.0,180.0,30.0,295.0,18.0,20.0,5.0,86.0,64.0,19.0,3.0,31.0,72.0,100.0,33.0,4.0,12.0,61.0,47.0,330.0,126.0,79.0,13.0,67.0,215.0
3007,3.0,0.0,21.0,17.0,1.0,4.0,6.0,42.0,5.0,46.0,16.0,8.0,201.0,22.0,10.0,14.0,49.0,159.0,55.0,110.0,41.0,87.0,61.0,108.0,29.0,37.0,217.0,383.0,12.0,73.0
3056,0.0,3.0,20.0,8.0,22.0,14.0,50.0,5.0,2.0,51.0,55.0,11.0,29.0,12.0,32.0,26.0,1.0,116.0,15.0,24.0,228.0,17.0,41.0,79.0,297.0,48.0,54.0,250.0,16.0,35.0
3105,1.0,3.0,6.0,10.0,7.0,4.0,0.0,2.0,36.0,21.0,20.0,67.0,31.0,100.0,26.0,5.0,13.0,25.0,199.0,129.0,16.0,52.0,178.0,80.0,23.0,82.0,299.0,47.0,8.0,9.0
3154,0.0,113.0,4.0,10.0,69.0,3.0,6.0,5.0,12.0,1.0,8.0,11.0,136.0,16.0,28.0,70.0,15.0,50.0,24.0,7.0,86.0,61.0,137.0,125.0,47.0,19.0,314.0,25.0,2.0,45.0
3203,3.0,18.0,29.0,10.0,188.0,1.0,0.0,59.0,17.0,22.0,12.0,428.0,180.0,23.0,14.0,20.0,31.0,367.0,230.0,75.0,5.0,212.0,276.0,80.0,6.0,8.0,90.0,391.0,28.0,7.0
3252,0.0,82.0,1.0,32.0,12.0,24.0,3.0,8.0,16.0,172.0,2.0,6.0,241.0,194.0,25.0,4.0,56.0,29.0,208.0,27.0,17.0,67.0,216.0,202.0,162.0,112.0,144.0,5.0,20.0,99.0
3301,0.0,1.0,6.0,28.0,2.0,4.0,5.0,38.0,10.0,3.0,7.0,25.0,266.0,11.0,12.0,78.0,112.0,66.0,41.0,21.0,181.0,57.0,91.0,73.0,147.0,402.0,366.0,40.0,26.0,216.0
3350,0.0,10.0,7.0,2.0,42.0,9.0,1.0,323.0,27.0,15.0,45.0,35.0,90.0,12.0,34.0,36.0,3.0,187.0,37.0,59.0,11.0,518.0,26.0,13.0,228.0,22.0,51.0,84.0,20.0,81.0
