,C16:0 LPE,3-phosphoglycerate,pantothenate,1-methylnicotinamide,acetylcholine,C36:1 DAG,C34:2 DAG,niacinamide,C22:6 CE,C18:0 LPC,putrescine,guanosine,creatinine,hypoxanthine,NADP,creatine,inositol,C56:3 TAG,SDMA/ADMA,C18:0 LPE,carnitine,GABA,PEP,alpha-glycerophosphocholine,alpha-hydroxybutyrate,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,UMP,dCMP
3603,8.0,45.0,35.0,24.0,13.0,20.0,31.0,23.0,11.0,3.0,32.0,10.0,12.0,48.0,22.0,18.0,9.0,40.0,38.0,60.0,52.0,37.0,39.0,44.0,42.0,29.0,46.0,2.0,16.0,1.0
3652,2.0,61.0,10.0,37.0,7.0,51.0,18.0,0.0,34.0,22.0,25.0,9.0,14.0,13.0,1.0,20.0,8.0,46.0,6.0,47.0,24.0,26.0,27.0,21.0,29.0,30.0,63.0,32.0,12.0,44.0
3701,4.0,0.0,11.0,40.0,12.0,27.0,22.0,5.0,10.0,16.0,13.0,15.0,41.0,55.0,48.0,20.0,9.0,7.0,6.0,42.0,17.0,51.0,44.0,19.0,14.0,8.0,31.0,65.0,23.0,43.0
3750,14.0,11.0,23.0,8.0,16.0,29.0,36.0,46.0,12.0,31.0,22.0,24.0,7.0,26.0,10.0,32.0,25.0,2.0,38.0,34.0,15.0,17.0,13.0,27.0,42.0,5.0,9.0,6.0,1.0,35.0
3799,7.0,5.0,19.0,18.0,63.0,37.0,30.0,13.0,32.0,21.0,42.0,23.0,16.0,12.0,49.0,4.0,41.0,27.0,44.0,25.0,26.0,43.0,15.0,46.0,56.0,45.0,17.0,9.0,55.0,51.0
3848,9.0,32.0,24.0,7.0,39.0,17.0,50.0,4.0,26.0,11.0,10.0,16.0,2.0,34.0,30.0,40.0,5.0,1.0,51.0,38.0,21.0,35.0,55.0,8.0,12.0,31.0,42.0,46.0,28.0,64.0
3897,13.0,22.0,52.0,10.0,59.0,46.0,32.0,1.0,30.0,29.0,43.0,6.0,12.0,48.0,27.0,37.0,44.0,7.0,3.0,38.0,9.0,35.0,54.0,15.0,55.0,2.0,16.0,33.0,11.0,53.0
3946,52.0,17.0,15.0,30.0,46.0,37.0,40.0,1.0,18.0,49.0,25.0,31.0,66.0,39.0,29.0,9.0,13.0,21.0,23.0,50.0,42.0,10.0,2.0,5.0,26.0,56.0,22.0,47.0,64.0,20.0
3995,12.0,10.0,26.0,38.0,31.0,48.0,19.0,3.0,9.0,2.0,36.0,44.0,16.0,46.0,52.0,29.0,66.0,56.0,62.0,47.0,1.0,53.0,4.0,15.0,7.0,11.0,0.0,22.0,21.0,6.0
4044,19.0,29.0,18.0,11.0,28.0,51.0,35.0,6.0,9.0,13.0,1.0,31.0,25.0,20.0,22.0,37.0,46.0,2.0,3.0,59.0,7.0,12.0,17.0,24.0,0.0,32.0,23.0,14.0,45.0,33.0
4093,6.0,4.0,15.0,32.0,47.0,20.0,28.0,36.0,53.0,50.0,2.0,45.0,42.0,29.0,25.0,37.0,35.0,0.0,39.0,58.0,14.0,17.0,5.0,12.0,56.0,22.0,8.0,34.0,3.0,21.0
4142,17.0,14.0,19.0,40.0,59.0,33.0,36.0,44.0,27.0,50.0,3.0,28.0,51.0,41.0,20.0,16.0,2.0,7.0,32.0,30.0,22.0,13.0,24.0,21.0,60.0,23.0,6.0,37.0,9.0,26.0
4191,17.0,3.0,35.0,36.0,8.0,11.0,30.0,34.0,50.0,45.0,47.0,48.0,25.0,44.0,10.0,20.0,38.0,6.0,5.0,24.0,26.0,33.0,19.0,13.0,32.0,49.0,4.0,54.0,59.0,64.0
4240,13.0,15.0,14.0,21.0,46.0,25.0,31.0,1.0,28.0,29.0,4.0,11.0,17.0,48.0,66.0,8.0,30.0,24.0,41.0,50.0,20.0,12.0,35.0,37.0,9.0,34.0,61.0,33.0,45.0,6.0
4289,4.0,55.0,17.0,24.0,22.0,30.0,15.0,45.0,12.0,40.0,20.0,50.0,14.0,33.0,10.0,9.0,27.0,13.0,36.0,39.0,7.0,43.0,11.0,8.0,59.0,19.0,31.0,6.0,32.0,35.0
4338,14.0,20.0,13.0,19.0,58.0,49.0,36.0,43.0,30.0,48.0,3.0,40.0,65.0,21.0,5.0,22.0,4.0,10.0,1.0,26.0,16.0,54.0,31.0,6.0,45.0,0.0,56.0,17.0,25.0,52.0
4387,12.0,16.0,8.0,17.0,45.0,20.0,19.0,7.0,9.0,24.0,2.0,5.0,14.0,39.0,43.0,1.0,29.0,6.0,49.0,58.0,42.0,34.0,38.0,15.0,60.0,40.0,35.0,31.0,27.0,18.0
4436,2.0,54.0,5.0,53.0,8.0,11.0,43.0,26.0,25.0,29.0,21.0,16.0,57.0,4.0,60.0,33.0,15.0,47.0,63.0,30.0,18.0,14.0,23.0,34.0,44.0,28.0,49.0,19.0,37.0,0.0
4485,3.0,11.0,4.0,17.0,12.0,48.0,18.0,15.0,32.0,39.0,19.0,13.0,37.0,9.0,56.0,20.0,22.0,6.0,24.0,7.0,41.0,14.0,1.0,50.0,40.0,60.0,34.0,33.0,23.0,62.0
4534,3.0,0.0,12.0,16.0,10.0,24.0,26.0,28.0,22.0,36.0,7.0,37.0,6.0,4.0,21.0,58.0,27.0,44.0,57.0,15.0,41.0,43.0,31.0,42.0,19.0,18.0,40.0,65.0,62.0,13.0
4583,11.0,35.0,9.0,45.0,22.0,39.0,18.0,2.0,8.0,19.0,5.0,29.0,33.0,12.0,32.0,16.0,1.0,0.0,6.0,23.0,24.0,25.0,38.0,46.0,27.0,36.0,31.0,66.0,17.0,3.0
4632,1.0,8.0,3.0,47.0,66.0,12.0,28.0,37.0,9.0,29.0,18.0,42.0,5.0,15.0,17.0,30.0,2.0,27.0,11.0,34.0,25.0,16.0,21.0,23.0,22.0,59.0,50.0,20.0,14.0,40.0
4681,2.0,33.0,28.0,30.0,34.0,37.0,17.0,20.0,12.0,11.0,1.0,27.0,64.0,8.0,7.0,21.0,22.0,44.0,10.0,19.0,18.0,26.0,62.0,50.0,63.0,51.0,3.0,66.0,60.0,39.0
4730,1.0,63.0,5.0,22.0,18.0,30.0,27.0,38.0,14.0,50.0,46.0,29.0,9.0,12.0,2.0,34.0,13.0,4.0,47.0,15.0,49.0,36.0,17.0,56.0,28.0,26.0,10.0,25.0,58.0,52.0
4779,4.0,29.0,12.0,28.0,14.0,16.0,17.0,24.0,10.0,15.0,7.0,41.0,64.0,30.0,58.0,55.0,11.0,9.0,59.0,19.0,54.0,1.0,0.0,26.0,6.0,45.0,46.0,3.0,23.0,38.0
4828,3.0,0.0,6.0,18.0,27.0,21.0,26.0,32.0,14.0,46.0,47.0,7.0,50.0,9.0,22.0,17.0,25.0,12.0,19.0,16.0,45.0,10.0,4.0,41.0,42.0,31.0,52.0,8.0,15.0,66.0
4877,8.0,15.0,7.0,37.0,20.0,46.0,23.0,5.0,32.0,47.0,1.0,28.0,12.0,14.0,0.0,35.0,61.0,66.0,22.0,29.0,25.0,2.0,10.0,13.0,43.0,4.0,42.0,41.0,64.0,65.0
