,XBP1,Lck,eEF2,Chk2,FRA1,Cyclin_B1,Src_pY416,Notch1,Caspase-7_cleavedD198,PDCD4,MSH6,PTEN,Myosin IIa pS1943,Annexin 1,GAPDH,Caveolin-1,CD49b,4E-BP1,VAV1,Bax,Porin,AMPK_pT172,Stathmin,MDMX_MDM4(BetIHC-00108),p38_pT180_Y182,PI3K-p110-alpha,SF2,Chk1_pS345,C-Raf(BD610151),c-Myc
2649,0.0,2.0,1.0,7.0,4.0,6.0,20.0,3.0,14.0,16.0,18.0,9.0,12.0,28.0,5.0,19.0,10.0,25.0,11.0,93.0,8.0,15.0,29.0,50.0,13.0,61.0,55.0,87.0,24.0,33.0
2698,0.0,1.0,4.0,3.0,11.0,2.0,9.0,15.0,10.0,25.0,27.0,6.0,7.0,14.0,8.0,12.0,24.0,16.0,5.0,95.0,29.0,13.0,55.0,35.0,17.0,28.0,41.0,37.0,22.0,34.0
2747,0.0,2.0,1.0,4.0,5.0,3.0,8.0,9.0,11.0,6.0,16.0,17.0,15.0,35.0,23.0,29.0,13.0,10.0,14.0,98.0,25.0,12.0,43.0,31.0,20.0,26.0,70.0,32.0,100.0,7.0
2796,0.0,1.0,2.0,4.0,17.0,3.0,10.0,5.0,14.0,11.0,16.0,8.0,9.0,13.0,15.0,20.0,6.0,22.0,7.0,26.0,27.0,12.0,57.0,19.0,24.0,74.0,37.0,32.0,25.0,96.0
2845,0.0,1.0,6.0,7.0,8.0,4.0,9.0,16.0,3.0,15.0,11.0,10.0,18.0,22.0,118.0,12.0,17.0,26.0,13.0,92.0,20.0,2.0,21.0,23.0,5.0,14.0,63.0,24.0,30.0,83.0
2894,0.0,1.0,2.0,8.0,16.0,4.0,29.0,15.0,6.0,17.0,11.0,7.0,10.0,94.0,5.0,19.0,12.0,30.0,3.0,32.0,27.0,14.0,57.0,34.0,9.0,73.0,65.0,13.0,24.0,26.0
2943,0.0,1.0,4.0,3.0,13.0,8.0,5.0,2.0,10.0,19.0,22.0,9.0,16.0,24.0,17.0,6.0,14.0,23.0,12.0,7.0,77.0,21.0,18.0,11.0,30.0,15.0,65.0,32.0,111.0,28.0
2992,0.0,4.0,9.0,1.0,13.0,14.0,8.0,10.0,11.0,7.0,22.0,6.0,18.0,3.0,15.0,20.0,31.0,12.0,25.0,5.0,78.0,19.0,2.0,16.0,21.0,49.0,65.0,85.0,115.0,91.0
3041,0.0,7.0,2.0,8.0,11.0,10.0,21.0,12.0,1.0,3.0,14.0,4.0,13.0,9.0,16.0,19.0,22.0,24.0,6.0,5.0,27.0,18.0,58.0,28.0,23.0,52.0,65.0,32.0,20.0,17.0
3090,0.0,2.0,4.0,1.0,11.0,7.0,21.0,5.0,3.0,13.0,24.0,8.0,14.0,6.0,17.0,23.0,34.0,9.0,18.0,16.0,64.0,20.0,10.0,15.0,27.0,29.0,72.0,88.0,98.0,25.0
3139,0.0,1.0,4.0,2.0,8.0,12.0,3.0,10.0,6.0,22.0,39.0,13.0,14.0,7.0,9.0,25.0,26.0,17.0,11.0,21.0,78.0,15.0,57.0,20.0,33.0,31.0,29.0,5.0,111.0,19.0
3188,0.0,2.0,1.0,10.0,18.0,3.0,7.0,9.0,6.0,15.0,19.0,11.0,8.0,12.0,13.0,25.0,16.0,5.0,4.0,22.0,27.0,14.0,20.0,28.0,33.0,78.0,43.0,29.0,31.0,21.0
3237,0.0,1.0,3.0,2.0,11.0,4.0,5.0,6.0,15.0,9.0,21.0,8.0,14.0,7.0,10.0,13.0,94.0,19.0,20.0,12.0,33.0,16.0,18.0,17.0,28.0,75.0,61.0,29.0,84.0,32.0
3286,0.0,2.0,7.0,1.0,8.0,10.0,5.0,15.0,3.0,18.0,40.0,4.0,47.0,14.0,20.0,19.0,85.0,21.0,13.0,6.0,22.0,29.0,56.0,23.0,36.0,16.0,63.0,24.0,26.0,11.0
3335,0.0,1.0,3.0,2.0,13.0,6.0,5.0,8.0,10.0,12.0,27.0,4.0,23.0,14.0,22.0,9.0,28.0,21.0,11.0,7.0,75.0,16.0,18.0,32.0,41.0,79.0,63.0,26.0,91.0,25.0
3384,0.0,9.0,2.0,3.0,15.0,5.0,1.0,12.0,19.0,32.0,4.0,10.0,29.0,6.0,14.0,33.0,20.0,35.0,13.0,7.0,23.0,21.0,28.0,25.0,34.0,78.0,64.0,17.0,87.0,11.0
3433,0.0,1.0,2.0,18.0,16.0,9.0,4.0,26.0,5.0,3.0,21.0,6.0,17.0,22.0,23.0,15.0,24.0,20.0,54.0,14.0,8.0,11.0,10.0,28.0,45.0,31.0,19.0,33.0,32.0,12.0
3482,0.0,3.0,1.0,16.0,5.0,8.0,4.0,28.0,20.0,9.0,2.0,15.0,27.0,12.0,14.0,13.0,23.0,18.0,17.0,29.0,7.0,11.0,24.0,52.0,37.0,21.0,10.0,34.0,19.0,26.0
3531,0.0,2.0,3.0,12.0,25.0,11.0,1.0,52.0,14.0,20.0,10.0,4.0,6.0,33.0,16.0,13.0,9.0,8.0,26.0,31.0,7.0,17.0,5.0,38.0,51.0,76.0,15.0,28.0,23.0,36.0
3580,0.0,5.0,4.0,10.0,11.0,3.0,1.0,29.0,14.0,2.0,9.0,15.0,12.0,19.0,8.0,16.0,7.0,26.0,23.0,17.0,6.0,22.0,18.0,27.0,32.0,77.0,28.0,30.0,24.0,13.0
3629,0.0,2.0,1.0,19.0,4.0,5.0,3.0,24.0,17.0,13.0,14.0,9.0,27.0,18.0,31.0,10.0,21.0,7.0,8.0,15.0,12.0,16.0,22.0,32.0,28.0,36.0,65.0,35.0,11.0,20.0
