,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-24,hsa-let-7e,hsa-miR-22,hsa-miR-223,hsa-miR-766,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-216a,hsa-miR-222,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-130a,hsa-miR-424,hsa-miR-31,hsa-miR-151-3p,hsa-miR-224,hsa-miR-148a,hsa-miR-126,hsa-miR-593,hsa-miR-1180,hsa-miR-29b,hsa-miR-193a-5p,hsa-miR-135b,hsa-miR-34c-3p,hsa-miR-137,hsa-miR-28-5p,hsa-miR-545,hsa-miR-369-5p
2958,1.0,0.0,2.0,10.0,16.0,5.0,7.0,6.0,4.0,3.0,9.0,30.0,164.0,8.0,15.0,107.0,27.0,17.0,13.0,21.0,197.0,485.0,18.0,227.0,29.0,31.0,75.0,397.0,100.0,80.0
3007,4.0,5.0,13.0,3.0,84.0,19.0,1.0,6.0,8.0,0.0,10.0,12.0,25.0,18.0,14.0,9.0,23.0,2.0,7.0,363.0,119.0,149.0,357.0,35.0,34.0,368.0,385.0,40.0,92.0,22.0
3056,0.0,4.0,1.0,16.0,9.0,5.0,7.0,13.0,11.0,6.0,3.0,37.0,2.0,12.0,8.0,44.0,27.0,15.0,106.0,25.0,159.0,121.0,29.0,128.0,42.0,36.0,188.0,40.0,78.0,74.0
3105,0.0,3.0,1.0,9.0,14.0,8.0,2.0,11.0,4.0,7.0,5.0,16.0,6.0,17.0,30.0,86.0,46.0,10.0,32.0,237.0,13.0,454.0,180.0,142.0,12.0,94.0,37.0,171.0,76.0,78.0
3154,0.0,11.0,4.0,6.0,21.0,7.0,1.0,9.0,24.0,12.0,2.0,18.0,46.0,3.0,28.0,5.0,10.0,13.0,27.0,66.0,38.0,215.0,88.0,33.0,20.0,125.0,15.0,437.0,101.0,166.0
3203,0.0,2.0,1.0,3.0,13.0,19.0,7.0,5.0,9.0,11.0,24.0,4.0,132.0,36.0,32.0,8.0,16.0,10.0,17.0,25.0,18.0,68.0,109.0,6.0,12.0,77.0,160.0,43.0,125.0,39.0
3252,1.0,0.0,5.0,9.0,7.0,15.0,3.0,10.0,8.0,6.0,4.0,67.0,24.0,2.0,16.0,181.0,101.0,14.0,36.0,89.0,32.0,52.0,22.0,55.0,26.0,42.0,17.0,109.0,513.0,68.0
3301,0.0,1.0,2.0,20.0,4.0,16.0,5.0,10.0,3.0,49.0,11.0,14.0,9.0,12.0,64.0,28.0,123.0,13.0,106.0,267.0,87.0,23.0,26.0,105.0,21.0,310.0,34.0,53.0,22.0,27.0
3350,0.0,5.0,3.0,7.0,53.0,1.0,2.0,4.0,14.0,36.0,9.0,6.0,28.0,18.0,66.0,29.0,31.0,11.0,46.0,61.0,44.0,277.0,113.0,62.0,15.0,97.0,125.0,26.0,487.0,268.0
3399,0.0,1.0,2.0,3.0,13.0,9.0,10.0,8.0,105.0,7.0,5.0,23.0,4.0,42.0,187.0,11.0,73.0,26.0,32.0,429.0,35.0,36.0,139.0,20.0,78.0,28.0,21.0,24.0,516.0,34.0
