,HER2_pY1248,Shc_pY317,B-Raf,C-Raf_pS338,PDK1_pS241,PEA15,Annexin 1,Smac,Akt,Rb,c-Myc,MDMX_MDM4(BetIHC-00108),MIG-6,Bap1 c-4,MYH11,PKC-pan_BetaII_pS660,RAD51,EGFR,VHL,Cyclin_E2,c-Jun_pS73,Notch1,B-Raf_pS445,Acetyl-a-Tubulin (Lys40),Src,EGFR_pY1068,14-3-3_beta,RSK1-2-3,p38_pT180_Y182,PRDX1
3974,4.0,40.0,26.0,35.0,148.0,55.0,82.0,110.0,71.0,97.0,41.0,2.0,18.0,129.0,109.0,12.0,83.0,13.0,122.0,85.0,24.0,37.0,59.0,42.0,131.0,112.0,28.0,76.0,60.0,79.0
4023,9.0,19.0,36.0,24.0,74.0,6.0,70.0,41.0,143.0,68.0,95.0,69.0,64.0,83.0,89.0,162.0,71.0,54.0,10.0,25.0,73.0,61.0,23.0,63.0,38.0,111.0,60.0,44.0,43.0,48.0
4072,6.0,5.0,60.0,26.0,156.0,9.0,27.0,40.0,99.0,107.0,35.0,36.0,163.0,14.0,150.0,20.0,32.0,136.0,34.0,124.0,89.0,15.0,74.0,28.0,49.0,144.0,10.0,52.0,31.0,125.0
4121,11.0,13.0,87.0,8.0,141.0,15.0,73.0,138.0,14.0,48.0,37.0,63.0,90.0,1.0,94.0,66.0,23.0,28.0,135.0,7.0,71.0,115.0,50.0,53.0,84.0,36.0,52.0,44.0,25.0,33.0
4170,10.0,56.0,23.0,20.0,83.0,4.0,5.0,75.0,26.0,59.0,90.0,35.0,145.0,27.0,146.0,161.0,28.0,54.0,2.0,39.0,44.0,13.0,65.0,151.0,130.0,69.0,24.0,50.0,38.0,15.0
4219,14.0,8.0,2.0,33.0,145.0,58.0,18.0,68.0,36.0,30.0,29.0,84.0,31.0,96.0,116.0,42.0,67.0,26.0,1.0,57.0,28.0,50.0,51.0,78.0,60.0,0.0,49.0,41.0,94.0,39.0
4268,7.0,1.0,8.0,61.0,5.0,90.0,27.0,9.0,41.0,44.0,12.0,142.0,66.0,94.0,106.0,160.0,82.0,113.0,48.0,63.0,103.0,62.0,92.0,46.0,30.0,53.0,43.0,50.0,49.0,102.0
4317,8.0,2.0,157.0,33.0,21.0,6.0,37.0,123.0,81.0,104.0,148.0,144.0,160.0,7.0,40.0,18.0,84.0,86.0,43.0,65.0,98.0,3.0,34.0,124.0,46.0,87.0,48.0,58.0,60.0,64.0
4366,7.0,15.0,50.0,16.0,146.0,45.0,23.0,32.0,64.0,83.0,13.0,111.0,35.0,90.0,147.0,152.0,9.0,0.0,133.0,128.0,164.0,95.0,159.0,108.0,58.0,136.0,36.0,33.0,63.0,42.0
4415,2.0,62.0,128.0,43.0,11.0,48.0,44.0,31.0,87.0,34.0,45.0,13.0,30.0,37.0,18.0,52.0,58.0,55.0,136.0,121.0,74.0,76.0,50.0,77.0,67.0,163.0,125.0,19.0,84.0,118.0
4464,6.0,17.0,23.0,31.0,11.0,62.0,32.0,92.0,27.0,33.0,40.0,19.0,140.0,39.0,134.0,37.0,26.0,68.0,15.0,83.0,35.0,22.0,25.0,126.0,2.0,30.0,90.0,8.0,103.0,54.0
4513,36.0,7.0,13.0,42.0,12.0,59.0,104.0,23.0,22.0,40.0,44.0,27.0,54.0,43.0,93.0,3.0,24.0,53.0,2.0,4.0,21.0,30.0,105.0,5.0,29.0,20.0,92.0,38.0,32.0,50.0
4562,38.0,59.0,26.0,51.0,42.0,10.0,48.0,13.0,76.0,67.0,28.0,83.0,32.0,2.0,1.0,16.0,27.0,39.0,11.0,24.0,36.0,162.0,103.0,23.0,8.0,49.0,47.0,100.0,45.0,33.0
4611,11.0,6.0,17.0,25.0,24.0,8.0,30.0,42.0,35.0,37.0,105.0,157.0,156.0,107.0,155.0,144.0,28.0,39.0,4.0,76.0,72.0,29.0,61.0,83.0,5.0,127.0,125.0,82.0,55.0,100.0
4660,7.0,5.0,29.0,93.0,8.0,50.0,89.0,15.0,1.0,77.0,20.0,26.0,32.0,102.0,4.0,48.0,104.0,52.0,42.0,116.0,47.0,21.0,90.0,123.0,3.0,134.0,44.0,73.0,51.0,75.0
4709,7.0,4.0,25.0,38.0,44.0,32.0,20.0,11.0,3.0,85.0,10.0,119.0,52.0,46.0,149.0,34.0,5.0,21.0,2.0,89.0,40.0,96.0,62.0,71.0,27.0,82.0,36.0,48.0,43.0,51.0
4758,8.0,10.0,13.0,12.0,68.0,2.0,55.0,22.0,4.0,58.0,161.0,24.0,87.0,114.0,115.0,3.0,40.0,23.0,54.0,131.0,73.0,39.0,61.0,7.0,88.0,46.0,48.0,82.0,94.0,76.0
4807,64.0,7.0,25.0,29.0,86.0,61.0,56.0,34.0,151.0,21.0,68.0,16.0,13.0,94.0,95.0,69.0,45.0,10.0,4.0,75.0,17.0,142.0,52.0,33.0,80.0,27.0,6.0,108.0,57.0,26.0
4856,6.0,2.0,31.0,25.0,1.0,53.0,44.0,12.0,77.0,43.0,30.0,11.0,70.0,23.0,137.0,17.0,20.0,9.0,98.0,121.0,15.0,60.0,134.0,27.0,16.0,22.0,45.0,52.0,80.0,59.0
