,GATA3,Akt_pS473,beta-Catenin_pT41_S45,c-Myc,Rb,Gab2,Cyclin_E1,MDMX_MDM4(BetIHC-00108),EGFR,Src,Lck,RAD51,PKC-alpha,Src_pY416,A-Raf_pS299,TAZ,Caspase-7_cleavedD198,ADAR1,YAP_pS127,VEGFR2,IGFBP2,AMPK_pT172,Annexin 1,p62 Lck ligand,PI3K-p110-alpha,Paxillin,PI3K-p85,PEA15,PDK1,PDK1_pS241
4220,16.0,1.0,6.0,11.0,87.0,18.0,152.0,34.0,157.0,61.0,28.0,17.0,24.0,62.0,5.0,30.0,7.0,2.0,27.0,0.0,141.0,38.0,37.0,23.0,44.0,49.0,54.0,41.0,46.0,45.0
4269,10.0,121.0,0.0,15.0,9.0,16.0,153.0,33.0,156.0,37.0,1.0,11.0,24.0,3.0,5.0,4.0,127.0,2.0,8.0,7.0,135.0,124.0,125.0,44.0,38.0,53.0,90.0,45.0,47.0,46.0
4318,0.0,34.0,3.0,16.0,94.0,19.0,152.0,136.0,157.0,2.0,4.0,85.0,49.0,9.0,29.0,39.0,18.0,6.0,26.0,30.0,141.0,119.0,118.0,47.0,42.0,52.0,40.0,45.0,22.0,46.0
4367,19.0,32.0,0.0,98.0,8.0,18.0,12.0,27.0,158.0,76.0,138.0,4.0,89.0,34.0,38.0,35.0,9.0,122.0,41.0,53.0,1.0,39.0,125.0,54.0,91.0,23.0,90.0,67.0,49.0,93.0
4416,3.0,39.0,1.0,13.0,11.0,19.0,15.0,26.0,16.0,0.0,24.0,9.0,29.0,70.0,35.0,2.0,99.0,34.0,59.0,53.0,139.0,122.0,123.0,43.0,92.0,42.0,91.0,63.0,44.0,52.0
4465,19.0,7.0,26.0,11.0,87.0,20.0,152.0,6.0,1.0,25.0,38.0,89.0,37.0,77.0,31.0,73.0,24.0,33.0,64.0,30.0,16.0,35.0,117.0,58.0,47.0,56.0,23.0,50.0,54.0,52.0
4514,4.0,1.0,99.0,0.0,12.0,162.0,151.0,8.0,22.0,3.0,10.0,81.0,13.0,26.0,7.0,32.0,107.0,126.0,29.0,61.0,137.0,2.0,122.0,53.0,35.0,14.0,5.0,37.0,44.0,41.0
4563,1.0,6.0,2.0,13.0,0.0,3.0,150.0,5.0,25.0,39.0,138.0,20.0,43.0,75.0,118.0,32.0,17.0,30.0,37.0,64.0,38.0,33.0,35.0,55.0,41.0,52.0,42.0,46.0,50.0,58.0
4612,7.0,2.0,10.0,12.0,17.0,161.0,20.0,6.0,27.0,1.0,28.0,18.0,19.0,92.0,5.0,4.0,24.0,33.0,62.0,65.0,135.0,31.0,32.0,48.0,44.0,53.0,41.0,47.0,13.0,59.0
4661,2.0,0.0,34.0,19.0,25.0,13.0,109.0,1.0,5.0,6.0,10.0,24.0,22.0,27.0,4.0,8.0,7.0,40.0,69.0,72.0,3.0,35.0,32.0,60.0,49.0,55.0,39.0,65.0,51.0,52.0
4710,5.0,9.0,27.0,3.0,10.0,17.0,25.0,32.0,0.0,6.0,11.0,23.0,26.0,35.0,34.0,7.0,105.0,120.0,62.0,65.0,33.0,8.0,36.0,31.0,40.0,55.0,42.0,39.0,58.0,38.0
4759,8.0,7.0,11.0,15.0,4.0,18.0,2.0,141.0,1.0,27.0,138.0,3.0,10.0,29.0,117.0,9.0,107.0,5.0,31.0,62.0,135.0,6.0,124.0,24.0,44.0,17.0,42.0,39.0,57.0,45.0
4808,0.0,6.0,39.0,18.0,3.0,148.0,152.0,2.0,15.0,37.0,25.0,82.0,28.0,77.0,4.0,34.0,99.0,41.0,61.0,54.0,138.0,122.0,38.0,48.0,66.0,20.0,65.0,64.0,16.0,17.0
4857,9.0,34.0,39.0,0.0,27.0,2.0,11.0,20.0,7.0,3.0,32.0,26.0,55.0,87.0,4.0,1.0,124.0,50.0,71.0,74.0,31.0,38.0,154.0,23.0,59.0,65.0,56.0,61.0,63.0,62.0
